time_stamp,battery_power_kw
2022-05-26 01:09:30.001557+00,-133.2
2022-05-26 01:10:00.011222+00,-119.7
2022-05-26 01:10:30.001435+00,-116.9
2022-05-26 01:11:00.017696+00,-140.6
2022-05-26 01:11:30.001386+00,-126.4
2022-05-26 01:12:00.017678+00,-116.2
2022-05-26 01:12:30.001501+00,-140.1
2022-05-26 01:13:00.013131+00,-116.7
2022-05-26 01:13:30.001507+00,-129.8
2022-05-26 01:14:00.010642+00,-146.6
2022-05-26 01:14:30.001464+00,-128.4
2022-05-26 01:15:00.003232+00,-136.9
2022-05-26 01:15:30.003186+00,-100.2
2022-05-26 01:16:00.003854+00,-132.7
2022-05-26 01:16:30.001389+00,-134.6
2022-05-26 01:17:00.002178+00,-130.5
2022-05-26 01:17:30.001696+00,-145.2
2022-05-26 01:18:00.015394+00,-108.5
2022-05-26 01:18:30.001619+00,-136.4
2022-05-26 01:19:00.005561+00,-134
2022-05-26 01:19:30.003116+00,-149.3
2022-05-26 01:20:00.011196+00,-162.2
2022-05-26 01:20:30.001407+00,-134
2022-05-26 01:21:00.010084+00,-144.5
2022-05-26 01:21:30.002738+00,-133.1
2022-05-26 01:22:00.004854+00,-156.6
2022-05-26 01:22:30.003267+00,-163.3
2022-05-26 01:23:00.015341+00,-118.4
2022-05-26 01:23:30.005616+00,-159.1
2022-05-26 01:24:00.022123+00,-134.8
2022-05-26 01:24:30.001443+00,49.4
2022-05-26 01:25:00.011335+00,37.5
2022-05-26 01:25:30.001596+00,58.1
2022-05-26 01:26:00.010421+00,39.8
2022-05-26 01:26:30.001564+00,36.1
2022-05-26 01:27:00.003086+00,66.3
2022-05-26 01:27:30.00382+00,49.8
2022-05-26 01:28:00.002676+00,62.4
2022-05-26 01:28:30.001551+00,69.1
2022-05-26 01:29:00.009105+00,53.5
2022-05-26 01:29:30.005982+00,52.9
2022-05-26 01:30:00.017365+00,43.3
2022-05-26 01:30:30.001561+00,63.4
2022-05-26 01:31:00.002917+00,55.7
2022-05-26 01:31:30.001703+00,38.3
2022-05-26 01:32:00.001504+00,65
2022-05-26 01:32:30.001492+00,44.9
2022-05-26 01:33:00.01406+00,54.4
2022-05-26 01:33:30.001652+00,55.6
2022-05-26 01:34:00.001757+00,37.3
2022-05-26 01:34:30.00136+00,46.6
2022-05-26 01:35:00.002234+00,33.9
2022-05-26 01:35:30.001463+00,45.1
2022-05-26 01:36:00.011813+00,40
2022-05-26 01:36:30.001545+00,16
2022-05-26 01:37:00.018455+00,38.1
2022-05-26 01:37:30.00155+00,18.5
2022-05-26 01:38:00.01472+00,35.7
2022-05-26 01:38:30.002564+00,37.7
2022-05-26 01:39:00.01085+00,19.7
2022-05-26 01:39:30.001529+00,31.2
2022-05-26 01:40:00.003052+00,25.1
2022-05-26 01:40:30.001498+00,37
2022-05-26 01:41:00.002094+00,35.6
2022-05-26 01:41:30.001549+00,25
2022-05-26 01:42:00.002148+00,43
2022-05-26 01:42:30.002604+00,17.5
2022-05-26 01:43:00.006368+00,31.8
2022-05-26 01:43:30.001481+00,49.8
2022-05-26 01:44:00.020352+00,32.3
2022-05-26 01:44:30.00607+00,45.9
2022-05-26 01:45:00.012995+00,25
2022-05-26 01:45:30.002704+00,40.5
2022-05-26 01:46:00.001555+00,45.1
2022-05-26 01:46:30.005923+00,39.7
2022-05-26 01:47:00.016339+00,55.9
2022-05-26 01:47:30.00152+00,31.7
2022-05-26 01:48:00.014713+00,40.9
2022-05-26 01:48:30.00377+00,51.7
2022-05-26 01:49:00.014458+00,36.9
