time_stamp,battery_power_kw,interpolated_battery_power_kw
2022-05-26 01:58:00,134.60000000000002,134.60000000000002
2022-05-26 01:59:00,121.19999999999999,121.19999999999999
2022-05-26 02:00:00,128.6,128.6
2022-05-26 02:01:00,113.1,113.1
2022-05-26 02:02:00,113.8,113.8
2022-05-26 02:03:00,104.5,104.5
2022-05-26 02:04:00,92.0,92.0
2022-05-26 02:05:00,113.2,113.2
2022-05-26 02:06:00,126.4,126.4
2022-05-26 02:07:00,107.4,107.4
2022-05-26 02:08:00,95.0,95.0
2022-05-26 02:09:00,93.4,93.4
2022-05-26 02:10:00,114.4,114.4
2022-05-26 02:11:00,80.6,80.6
2022-05-26 02:12:00,74.30000000000001,74.30000000000001
2022-05-26 02:13:00,54.0,54.0
2022-05-26 02:14:00,39.8,39.8
2022-05-26 02:15:00,40.400000000000006,40.400000000000006
2022-05-26 02:16:00,-33.0,-33.0
2022-05-26 02:17:00,9.2,9.2
2022-05-26 02:18:00,-46.099999999999994,-46.099999999999994
2022-05-26 02:19:00,-152.8,-152.8
2022-05-26 02:20:00,18.2,18.2
2022-05-26 02:21:00,34.3,34.3
2022-05-26 02:22:00,-26.099999999999998,-26.099999999999998
2022-05-26 02:23:00,15.3,15.3
2022-05-26 02:24:00,30.799999999999997,30.799999999999997
2022-05-26 02:25:00,48.6,48.6
2022-05-26 02:26:00,56.3,56.3
2022-05-26 02:27:00,65.9,65.9
2022-05-26 02:28:00,69.2,69.2
2022-05-26 02:29:00,47.6,47.6
2022-05-26 02:30:00,33.5,33.5
2022-05-26 02:31:00,23.6,23.6
2022-05-26 02:32:00,66.7,66.7
2022-05-26 02:33:00,59.0,59.0
2022-05-26 02:34:00,37.4,37.4
2022-05-26 02:35:00,27.7,27.7
2022-05-26 02:36:00,26.0,26.0
2022-05-26 02:37:00,12.9,12.9
2022-05-26 02:38:00,3.0999999999999996,3.0999999999999996
2022-05-26 02:39:00,-9.6,-9.6
2022-05-26 02:40:00,-7.7,-7.7
2022-05-26 02:41:00,-0.5,-0.5
2022-05-26 02:42:00,2.5,2.5
2022-05-26 02:43:00,25.1,25.1
2022-05-26 02:44:00,27.4,27.4
2022-05-26 02:45:00,51.1,51.1
2022-05-26 02:46:00,60.1,60.1
2022-05-26 02:47:00,40.0,40.0
2022-05-26 02:48:00,32.2,32.2
2022-05-26 02:49:00,-1.799999999999999,-1.799999999999999
2022-05-26 02:50:00,22.3,22.3
2022-05-26 02:51:00,73.6,73.6
2022-05-26 02:52:00,49.400000000000006,49.400000000000006
2022-05-26 02:53:00,70.2,70.2
2022-05-26 02:54:00,71.1,71.1
2022-05-26 02:55:00,93.8,93.8
2022-05-26 02:56:00,113.0,113.0
2022-05-26 02:57:00,103.5,103.5
2022-05-26 02:58:00,103.2,103.2
2022-05-26 02:59:00,90.5,90.5
2022-05-26 03:00:00,98.5,98.5
2022-05-26 03:01:00,117.80000000000001,117.80000000000001
2022-05-26 03:02:00,94.4,94.4
2022-05-26 03:03:00,99.1,99.1
2022-05-26 03:04:00,98.6,98.6
2022-05-26 03:05:00,89.1,89.1
2022-05-26 03:06:00,118.4,118.4
2022-05-26 03:07:00,108.0,108.0
2022-05-26 03:08:00,101.5,101.5
2022-05-26 03:09:00,106.0,106.0
2022-05-26 03:10:00,107.2,107.2
2022-05-26 03:11:00,124.69999999999999,124.69999999999999
2022-05-26 03:12:00,97.4,97.4
2022-05-26 03:13:00,102.6,102.6
2022-05-26 03:14:00,92.6,92.6
2022-05-26 03:15:00,93.0,93.0
2022-05-26 03:16:00,114.4,114.4
2022-05-26 03:17:00,91.9,91.9
2022-05-26 03:18:00,100.3,100.3
2022-05-26 03:19:00,91.9,91.9
2022-05-26 03:20:00,111.0,111.0
2022-05-26 03:21:00,128.0,128.0
2022-05-26 03:22:00,106.7,106.7
2022-05-26 03:23:00,100.1,100.1
2022-05-26 03:24:00,79.9,79.9
2022-05-26 03:25:00,72.9,72.9
2022-05-26 03:26:00,95.2,95.2
2022-05-26 03:27:00,67.6,67.6
2022-05-26 03:28:00,86.8,86.8
2022-05-26 03:29:00,103.9,103.9
2022-05-26 03:30:00,98.5,98.5
2022-05-26 03:31:00,136.7,136.7
2022-05-26 03:32:00,119.6,119.6
2022-05-26 03:33:00,134.4,134.4
2022-05-26 03:34:00,138.6,138.6
